antecedent,consequent,support,confidence,lift,leverage,conviction
"('WOODEN STAR CHRISTMAS SCANDINAVIAN',)","('WOODEN HEART CHRISTMAS SCANDINAVIAN',)",0.02158433466844682,0.7578125,25.320515799256505,0.020731890159039132,4.0054553024103825
"('WOODEN HEART CHRISTMAS SCANDINAVIAN',)","('WOODEN STAR CHRISTMAS SCANDINAVIAN',)",0.02158433466844682,0.7211895910780669,25.320515799256505,0.020731890159039132,3.4845097166592494
"('PINK REGENCY TEACUP AND SAUCER',)","('GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER')",0.03009568313306631,0.7071895424836602,16.574236265562288,0.028279871975866948,3.269459726063323
"('GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER')","('PINK REGENCY TEACUP AND SAUCER',)",0.03009568313306631,0.7053455019556714,16.574236265562288,0.028279871975866948,3.2493760116733807
"('PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER')","('GREEN REGENCY TEACUP AND SAUCER',)",0.03009568313306631,0.9046822742474916,16.053868274306918,0.028221014509976116,9.900016786514568
"('GREEN REGENCY TEACUP AND SAUCER',)","('PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER')",0.03009568313306631,0.5340572556762092,16.053868274306918,0.028221014509976116,2.0747901627782426
"('PINK REGENCY TEACUP AND SAUCER',)","('GREEN REGENCY TEACUP AND SAUCER',)",0.03515798842901647,0.8261437908496734,14.660178464278113,0.03275979194630075,5.42774451147897
"('GREEN REGENCY TEACUP AND SAUCER',)","('PINK REGENCY TEACUP AND SAUCER',)",0.03515798842901647,0.6238894373149063,14.660178464278113,0.03275979194630075,2.5456430971829462
"('GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER')","('ROSES REGENCY TEACUP AND SAUCER',)",0.03009568313306631,0.856012658227848,14.448529149581027,0.028012724873336527,6.533590574979089
"('ROSES REGENCY TEACUP AND SAUCER',)","('GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER')",0.03009568313306631,0.5079812206572769,14.448529149581027,0.028012724873336527,1.9609861494715597
"('GARDENERS KNEELING PAD KEEP CALM',)","('GARDENERS KNEELING PAD CUP OF TEA',)",0.030373831775700934,0.5980284775465499,14.182269013689686,0.028232155310081643,2.382837122218059
"('GARDENERS KNEELING PAD CUP OF TEA',)","('GARDENERS KNEELING PAD KEEP CALM',)",0.030373831775700934,0.7203166226912929,14.182269013689684,0.028232155310081643,3.393873697424659
"('REGENCY CAKESTAND 3 TIER', 'ROSES REGENCY TEACUP AND SAUCER')","('GREEN REGENCY TEACUP AND SAUCER',)",0.022696929238985315,0.7771428571428572,13.790641658440277,0.021051108123396098,4.234313842958705
"('GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER')","('ROSES REGENCY TEACUP AND SAUCER',)",0.022696929238985315,0.8015717092337917,13.529627272475718,0.02101935684309535,4.741029293182989
"('PINK REGENCY TEACUP AND SAUCER',)","('ROSES REGENCY TEACUP AND SAUCER',)",0.03326657765910102,0.7816993464052288,13.194204179324311,0.030745275335219247,4.309443529496415
"('ROSES REGENCY TEACUP AND SAUCER',)","('PINK REGENCY TEACUP AND SAUCER',)",0.03326657765910102,0.5615023474178403,13.194204179324311,0.030745275335219247,2.183462675430195
"('SET/6 RED SPOTTY PAPER PLATES',)","('SET/20 RED RETROSPOT PAPER NAPKINS',)",0.02058299955496217,0.7020872865275143,12.79991994180385,0.018974942657063988,3.172570504480143
"('ROSES REGENCY TEACUP AND SAUCER',)","('GREEN REGENCY TEACUP AND SAUCER',)",0.042668001780151316,0.72018779342723,12.779956342199297,0.039329336088527476,3.3724300185482208
"('GREEN REGENCY TEACUP AND SAUCER',)","('ROSES REGENCY TEACUP AND SAUCER',)",0.042668001780151316,0.7571569595261599,12.779956342199295,0.039329336088527476,3.8739192907616657
"('STRAWBERRY CHARLOTTE BAG',)","('CHARLOTTE BAG PINK POLKADOT',)",0.021083667111704493,0.5249307479224377,12.717190194951131,0.01942577989066765,2.0180694440660107
"('CHARLOTTE BAG PINK POLKADOT',)","('STRAWBERRY CHARLOTTE BAG',)",0.021083667111704493,0.5107816711590296,12.717190194951131,0.01942577989066765,1.961977463676699
"('SPACEBOY LUNCH BOX',)","('DOLLY GIRL LUNCH BOX',)",0.029928793947485537,0.5977777777777779,12.641945098039217,0.027561373925061333,2.3686277836378524
"('DOLLY GIRL LUNCH BOX',)","('SPACEBOY LUNCH BOX',)",0.029928793947485537,0.6329411764705882,12.641945098039216,0.027561373925061333,2.587959159220841
"('JUMBO BAG PEARS',)","('JUMBO BAG APPLES',)",0.022585669781931463,0.6823529411764706,12.541898231685312,0.02078485228487412,2.976870395094694
"('HOT WATER BOTTLE I AM SO POORLY',)","('CHOCOLATE HOT WATER BOTTLE',)",0.021806853582554516,0.5966514459665144,12.50047365115858,0.02006237139803078,2.360910144343401
"('RED RETROSPOT CHARLOTTE BAG',)","('CHARLOTTE BAG PINK POLKADOT',)",0.02903871829105474,0.5058139534883721,12.254058797718299,0.02666899583660873,1.9400036650174088
"('CHARLOTTE BAG PINK POLKADOT',)","('RED RETROSPOT CHARLOTTE BAG',)",0.02903871829105474,0.7035040431266847,12.254058797718297,0.02666899583660873,3.17909940526763
